RamanShift (cm-1)	00:00:56	00:01:25	00:01:55	00:02:26
3275.0000	1455.41085487	786.46072270	564.10041581	963.47458408
3274.0000	1514.59888023	812.23981523	970.01641853	1278.42115735
3273.0000	953.37604149	714.39596945	946.50729279	1341.00898358
3272.0000	484.63822504	726.56827153	743.78272240	1155.38796585
3271.0000	561.18793209	705.72704312	725.06867056	937.02442939
3270.0000	852.46175560	504.11920397	876.24661448	864.81599694
3269.0000	919.50515902	302.26795524	919.47372253	864.34757039
3268.0000	838.64537303	249.52936122	673.35432223	708.34819831
3267.0000	870.96184022	288.80855848	437.77010828	465.53642632
3266.0000	896.04704897	518.13214014	713.25987793	433.13450461
3265.0000	679.87003536	912.73703766	1247.73597191	525.20106414
3264.0000	500.75602790	1034.07882948	1271.97746518	478.86249809
3263.0000	748.38103361	819.03383953	805.43605984	480.45610153
3262.0000	1110.66910530	698.10868819	484.64658920	737.51645002
3261.0000	1090.74829859	726.00029756	463.51747284	986.17858941
3260.0000	888.85299461	756.82764054	543.17864144	1033.43642821
3259.0000	885.15042633	892.04545102	625.67227241	1046.70120753
3258.0000	908.56947926	1005.04547964	596.26856256	1109.83496523
3257.0000	653.61241505	786.92542196	434.56503724	1066.96260588
3256.0000	246.08396083	335.89051604	276.04155658	752.60930472
3255.0000	74.28576214	21.99223327	166.92241424	267.46268872
3254.0000	287.74869984	102.92363076	103.13204344	12.48915572
3253.0000	595.18280656	521.45649060	115.51716680	164.94123378
3252.0000	664.21610891	851.50098927	217.92273826	417.53881097
3251.0000	572.21865267	843.69709746	428.10511844	508.58608496
3250.0000	565.35725362	800.23880292	660.87809760	474.02389030
3249.0000	599.57306118	950.31694136	765.14914278	412.96840721
3248.0000	504.74483689	1066.47648863	771.15544393	441.30997119
3247.0000	390.45479531	997.86029898	731.18086072	574.62223543
3246.0000	461.13483844	943.45346448	612.34748371	638.58840704
3245.0000	583.36687749	1039.45168512	577.50862761	600.38507268
3244.0000	516.32475637	1095.39956685	724.01163033	606.09039522
3243.0000	402.75562763	909.13048746	733.30264116	598.73501971
3242.0000	487.67408376	612.90352679	466.72850434	431.04155910
3241.0000	627.60259428	449.63622372	292.00769551	253.10125650
3240.0000	641.33274576	428.11004307	377.31746377	326.14075693
3239.0000	719.48183176	477.80907184	492.36104900	617.44972864
3238.0000	963.01353428	624.69558518	578.70928647	892.43395652
3237.0000	1026.75455960	784.44681697	678.00825416	983.86386299
3236.0000	666.68349772	727.34724383	568.94287769	800.32058154
3235.0000	193.65936057	444.24694703	219.16472690	432.05291738
3234.0000	71.02440246	270.15749389	88.56305494	263.93763183
3233.0000	368.50847614	408.28621830	394.05015896	522.04044341
3232.0000	759.28059089	588.30774125	700.36038466	876.35670157
3231.0000	880.16011764	520.95859168	647.08717780	897.62134998
3230.0000	698.23158799	358.08953537	443.72468991	631.64370355
3229.0000	536.19346260	355.97679716	382.86527412	442.04148712
3228.0000	612.08066314	482.30782959	422.35589018	482.89786096
3227.0000	781.97048332	610.72964225	468.69286040	588.57233451
3226.0000	913.59001254	757.02426940	617.59184481	663.47357959
3225.0000	1031.43906068	944.39450833	837.66003871	775.74604911
3224.0000	1011.28831841	1006.65707490	841.00294519	829.23537882
3223.0000	734.60828906	767.21025306	602.94138838	699.92483316
3222.0000	398.86276858	404.13260100	482.77368954	554.29688850
3221.0000	202.39794840	243.87396282	554.66929114	502.62551572
3220.0000	112.09536370	238.20852663	543.43839287	383.61968682
3219.0000	119.57193831	174.76165231	473.38741409	205.79518273
3218.0000	253.03131584	176.34338455	535.78015274	188.80937690
3217.0000	430.59495328	448.16585446	616.85584173	353.43269878
3216.0000	625.02511067	854.73866191	666.87051890	582.96886875
3215.0000	883.32349085	1119.52168004	845.40203932	813.25805550
3214.0000	1072.45362565	1178.40031619	977.69206160	875.30845326
3213.0000	1014.05965604	1154.43332731	794.55543865	620.00592000
3212.0000	859.68616004	1106.68889027	560.46334835	309.32280773
3211.0000	882.55634010	983.42328967	612.41993067	372.08256648
3210.0000	1006.36039177	854.95428304	800.05867779	770.70845561
3209.0000	1003.64237007	880.36440713	897.83531611	1062.19093716
3208.0000	930.26481227	965.48443590	924.07270666	1014.87843534
3207.0000	940.06576513	874.78645616	911.36603855	807.66868811
3206.0000	990.28776809	663.94482710	852.63602012	702.56528674
3205.0000	1001.48653877	579.35334499	790.79061160	754.10069415
3204.0000	983.63880045	646.82571599	764.55405772	821.45823598
3203.0000	935.97594808	662.76621230	777.31184639	770.20522266
